Gene,CTL_1,CTL_2,TGFb_1,TGFb_2
HS.567036,7.04569632,6.935229611,6.810220614,6.947243838
CYFIP2,7.003825705,6.987049143,6.760216948,6.731540222
LOC644538,6.542345778,6.472261925,6.266727455,6.322851804
HS.564582,6.738167989,6.885352479,6.462990363,6.764510402
LOC643322,6.817543571,6.623264466,6.549541515,6.902302592
AMY1C,14.49205929,14.43084223,14.31940341,14.30102934
GUCY2E,6.789166874,6.598897669,6.520206728,6.533384717
SHROOM4,10.82588438,10.7947555,10.6891844,10.63987679
AKT2,6.615549911,6.766261233,6.339222496,6.78744076
HS.304563,6.83080521,6.54635316,6.564147317,6.619269861
AREG,6.501397653,6.529618223,6.224319864,6.737269928
ZKSCAN2,8.006809971,7.81772451,7.862872874,7.795951092
GDI1,10.34654668,10.36017148,10.22918406,10.43984831
PTPN14,8.297036455,8.384598703,8.160177752,8.524690214
SH3BP4,10.82003018,10.83011673,10.68389736,10.70206438
HAS1,6.682345059,6.246957821,6.405671228,6.651774737
ZNF773,7.95588916,7.80560087,7.806851359,7.993669874
CCHCR1,6.425764737,6.378256482,6.147704852,6.370941223
SLC24A5,6.473543794,6.33370814,6.198595158,6.439305923
NEBL,6.736778997,6.629123516,6.460902574,6.570514989
RNF170,8.405427291,8.267908926,8.286334325,8.175108112
DIS3L,9.457431677,9.417926904,9.353430688,9.103930269
ADAD2,6.513409338,6.326672498,6.23632883,6.121776212
NXT2,7.980885197,7.924416834,7.829397856,7.704667256
PIK3C2A,8.294032516,8.120739882,8.155709057,8.360924363
SQRDL,9.564455758,9.621619908,9.450501514,9.330322139
HS.542287,6.58045403,6.640715093,6.302946306,6.63692587
OXSR1,12.66002993,12.50014368,12.49553518,12.48629579
CABLES1,8.03329591,7.821350411,7.886950266,7.809198963
CLDN5,6.385893322,6.390722278,6.105077825,6.267344995
LOC645078,6.521173974,6.514387371,6.244201463,6.472862985
TBCD,9.252489504,9.197654503,9.135089141,9.183583178
HS.579533,6.727429624,6.680350465,6.450787412,6.509692978
C3ORF25,6.930654427,6.845182242,6.676934777,6.932658448
GPT2,11.03184946,11.22985625,10.90055109,11.03416794
LOC374395,12.16119266,12.34687315,12.01908126,12.36367957
GGTL3,6.845939788,6.865178532,6.580885589,6.633657978
NIT1,7.794755146,7.901900044,7.638467376,7.720347803
LOC646463,9.552589804,9.531866427,9.437981696,9.75198421
HS.559627,6.64189953,6.615404535,6.365010038,6.504812965
HS.545757,6.453945336,6.23480091,6.176586073,6.40119387
ZNF91,8.917194242,9.009702561,8.798485902,8.742627989
HS.493928,6.681285361,6.486578233,6.403702676,6.607385347
REM2,7.144300895,7.289308877,6.925526937,6.972452021
LOC646481,6.537649992,6.460707017,6.259996925,6.695108851
SLC25A19,8.600423596,8.159920644,8.479857215,8.425823598
SKIP,7.042400576,7.00218341,6.805127502,7.047465388
HS.553083,6.641324466,6.603913923,6.363707548,6.386596701
SNPH,7.351861776,7.276362355,7.164746434,7.12205687
HS.545831,6.723085987,6.346509502,6.445910591,6.662193273
PLXNA3,9.052415286,9.130724996,8.928319428,8.895480549
EIF3B,12.34687315,12.02204636,12.21287943,11.95196121
SPAG9,10.4064796,10.11777306,10.28665694,10.23745956
DDX18,11.092453,10.87471433,10.94811351,10.69389641
HS.116129,6.593445347,6.255112072,6.31620053,6.451540432
C1QBP,12.80376737,12.64674533,12.64838545,12.62290885
HS.566697,6.651072668,6.563287099,6.372867817,6.512570992
PPP2R5B,8.892284624,8.751307246,8.776801704,8.795353878
GPR172A,11.51916899,11.25127686,11.38581299,11.46245619
HS.57718,6.268644703,6.082945715,5.973234266,6.215770441
PRMT2,9.965554295,9.892849764,9.861266634,9.783527819
C8ORFK32,6.676715418,6.433837145,6.398466256,6.460055981
CAMK2A,6.482985679,6.479552886,6.203987451,6.771277582
HS.166545,7.088949671,6.969308746,6.85971339,7.120213867
LOC645489,9.146808644,9.114772829,9.021879484,9.119634882
LOC341346,7.354099835,7.142651211,7.168664015,7.081662075
KAT2A,11.05279382,10.8015006,10.91885967,10.57044077
CDCA7,9.371013598,9.136677792,9.249348902,8.839974926
PIGF,8.979380571,9.357628881,8.853668409,9.208552325
KIAA1279,9.956761763,10.18779709,9.852265594,9.929089788
RPL23AP13,7.744197986,7.779486399,7.584130621,7.790853181
KIAA1328,6.966526718,6.941321719,6.718086634,6.921568944
ZC3H4,10.43196102,10.54328668,10.31261738,10.34165914
HS.539990,7.497296076,7.433041911,7.312486888,7.402650304
CUEDC2,10.61572497,10.71426744,10.49332678,10.41131593
CPA3,6.690600059,6.384794231,6.411566474,6.417140255
PER2,7.641485296,7.804725763,7.466126937,7.836513287
TSEN34,12.13068638,12.10011052,12.00203976,12.06424889
SARM1,6.928857639,6.870765081,6.673994964,6.707362961
SNX30,10.31989186,10.22536013,10.19805966,10.3768086
HS.160900,6.772829978,6.847876527,6.499161472,6.73080329
PFN2,8.973774288,9.096112013,8.846219994,8.91022825
ZIM3,6.69445079,6.355105692,6.414980455,6.385272515
WDR47,8.726095554,8.733028525,8.597473785,8.694568331
HAGH,10.86572959,10.72843252,10.72012322,10.72492288
GAGE7,7.232260838,6.98147796,7.030460648,7.210195266
CCL22,6.519717839,6.540687357,6.240906144,6.330773857
NUP188,9.542466781,9.410772092,9.426195095,9.429933983
S100A2,7.906434473,8.132957118,7.760027024,7.863693424
DIAPH2,7.673392643,7.538554071,7.502498315,7.613299092
HOMEZ,6.625946016,6.586128872,6.346509502,6.522769569
NRM,8.148923489,8.290971498,7.998803697,8.066111886
AASS,7.773174424,7.487253518,7.616724307,7.568103088
HS2ST1,7.56924805,7.487503684,7.393763523,7.341242294
HS.121108,6.736166472,6.594511537,6.457878157,6.378953859
ZNF184,7.277544024,7.25044162,7.077879914,7.093419857
IL28RA,7.657701726,7.67709644,7.482875092,7.503397954
HS.582066,6.673686218,6.447572442,6.395059574,6.331107649
LOC139046,6.494244318,6.397114085,6.212277291,6.437342065
HERC6,9.665827564,9.022844041,9.557074655,9.176068731
C7ORF26,9.455824885,9.463297218,9.349097749,9.306923049
LOC339529,6.775635592,6.631157858,6.501918252,6.39966847
LOC339804,7.780268386,7.668891902,7.622090648,7.680181605
IMP5,6.548013538,6.59279233,6.268946207,6.391051047
HS.132111,6.510842166,6.383056152,6.231972392,6.461263664
RBBP8,9.429633135,9.213440263,9.325419698,9.20788399
LOC647943,6.744597324,6.671816804,6.46728555,6.614776299
PEX1,8.06243555,7.903161486,7.912017215,8.090973907
CXORF41,6.74131341,6.674717179,6.463543999,6.859370467
BRI3BP,8.497545602,8.262145692,8.374317985,8.199306484
MVK,8.740459617,8.904817579,8.614780002,8.705321445
MRPS27,11.27609197,11.14206211,11.13121602,11.05279382
OR52D1,6.62735206,6.365921286,6.34750755,6.479238885
PDK1,7.148392159,7.023804534,6.927279985,6.640883263
RRAGD,10.46983377,10.52210071,10.35374274,10.4777025
ENTPD3,7.193002028,7.618266503,6.979635107,6.94315547
HS.336643,7.019169934,6.977708337,6.775076586,7.161635038
ZNF701,7.796981593,7.815229874,7.638311722,7.531074735
DPP4,6.745744333,6.678314249,6.468026473,6.61110992
DEFB110,6.584697417,6.226051063,6.304710033,6.454324164
ARMC1,9.489644078,9.478802808,9.375011304,9.597201274
APOM,6.762977515,6.685932179,6.486394512,6.586087457
WDR57,10.74857515,10.57152477,10.61632957,10.4646784
HS.541913,6.816411396,6.643617277,6.545118085,6.64624852
SERINC1,9.931113544,10.09154646,9.819303032,10.26799734
DNALI1,6.952433739,6.804805716,6.699647775,6.686194786
OSBP,12.32154445,12.15410976,12.15808616,12.16550628
SMARCD1,10.01915548,10.00425774,9.909207929,9.713823943
SSH2,9.252271419,9.476852344,9.131573323,9.502110497
MRPS12,10.65025015,10.3362253,10.52427899,10.39534396
BRD2,12.50014368,12.10946609,12.34562367,11.98888285
NSUN5,8.325212865,8.052623504,8.188889037,7.921077612
HS.164459,6.587947223,6.594097881,6.308223495,6.640770994
SELENBP1,7.313078799,7.725207178,7.115478969,7.024331362
HS.534061,9.477416884,9.123718855,9.365944409,9.554446407
OXSM,8.099657261,7.95588916,7.94357094,7.828730663
MTMR7,6.727135733,6.355436855,6.447129274,6.920580429
ZNF532,7.980012927,7.911172659,7.824663486,7.963311274
