Gene	CTL_1	CTL_2	TGFb_1	TGFb_2
TUBB	13348.9	13296.86	12486.31	11215.33
HIST1H3J	107.8558	85.29871	100.8856	75.32934
SALL3	252.0703	193.6972	235.7748	241.9211
PAM	9066.307	9086.655	8480.074	9330.128
KIAA1166	139.1646	113.7502	130.1645	99.4442
LOC645843	106.5451	90.26481	99.65401	89.35615
LOC649414	90.23043	63.13844	84.39417	83.70957
LOC645557	83.78783	76.17969	78.36644	67.35361
HS.245814	101.9359	100.0782	95.33945	84.56884
SMPX	101.4625	83.50806	94.89614	81.78351
HS.540143	106.0255	96.7981	99.16315	90.86528
HS.581405	105.0835	90.6786	98.28157	91.92847
CHRNA10	127.5687	102.8663	119.3092	99.98991
HIST1H1C	988.7661	666.5251	924.7447	739.0245
NKD2	96.27835	77.93354	90.04433	73.11651
HS.582952	82.91702	74.46169	77.54717	76.45902
HSPG2	113.7413	110.2019	106.3751	92.76608
VNN3	150.041	122.6734	140.3232	108.9961
MXRA5	142.8891	103.7483	133.6318	111.7105
KIAA1274	81.48069	77.73914	76.20061	76.73122
HS.571164	96.77711	96.02662	90.50418	97.8251
LOC731640	3109.951	2400.397	2908.266	2434.283
CRABP1	91.07121	80.54272	85.16427	88.36057
DERL2	1911.236	1315.481	1787.271	1258.928
C6ORF64	421.5661	374.2737	394.2198	314.6315
TDG	1902.52	1521.256	1779.093	1305.622
HS.555388	104.6594	97.32022	97.86872	91.78641
LOC650594	98.05048	93.25032	91.68851	84.7667
RPS6KA1	222.3879	214.6478	207.9572	196.6483
HS.543425	99.41849	93.23689	92.96646	79.04207
HS.154336	892.0466	916.0583	834.144	911.8496
DEDD	340.7526	303.4586	318.6332	314.7091
HS.58423	102.7055	86.39104	96.03785	82.22373
HS.561799	90.59334	90.3242	84.71138	79.55322
HS.565532	97.37737	85.2196	91.05467	90.06136
HS.544131	95.36697	75.51868	89.17468	87.17108
HS.569912	121.7057	95.89458	113.8026	111.8812
MGC45800	97.60753	88.52168	91.26927	81.44859
HS.25028	90.16196	88.74698	84.30529	82.45207
FLJ42957	94.29728	74.81925	88.17112	85.80257
NEFH	94.0245	82.77843	87.91563	76.51277
LOC401019	28741.79	22514.31	26874.1	20728.59
HS.537821	99.22946	93.21987	92.77993	91.64652
PRKCH	267.6261	241.1484	250.2309	222.4467
BRPF1	2082.285	1655.667	1946.93	1612.212
TMEM42	1088.85	1066.838	1018.056	931.0596
HIST1H2AE	87.51385	85.8524	81.82381	90.01875
LRFN3	1303.014	1201.403	1218.251	1118.126
AP4S1	172.0526	153.0681	160.8596	132.9893
NARS	3623.49	3495.14	3387.738	3489.611
HS.146949	172.2924	177.9428	161.0819	128.9495
HS.548957	95.42268	77.70955	89.21373	87.61053
HS.539225	104.4498	80.24835	97.65285	93.63742
RDH11	3383.879	3327.745	3163.67	3376.436
CFHR4	91.38203	81.78992	85.435	96.75946
ARL5A	1842.423	1583.778	1722.518	1644.184
LOC653537	102.3334	82.68663	95.67293	84.19942
HS.407532	123.4206	118.8785	115.3875	116.3231
HS.526723	104.6177	86.52792	97.80773	82.47356
HS.542148	104.4747	91.54423	97.67323	104.9757
LOC645783	100.6091	79.72655	94.05913	90.42294
C4ORF37	101.7775	84.7438	95.15134	87.06413
CHRNE	112.1701	104.7275	104.866	86.44867
TACSTD2	2626.863	2434.207	2455.789	2434.156
HS.148693	115.2382	86.99405	107.733	92.30733
HS.439057	107.9515	81.98161	100.9208	99.16819
ABCA10	125.0024	107.2535	116.8603	84.1845
C5ORF35	340.4623	263.7278	318.2839	271.3041
HS.540856	103.6775	87.20983	96.9234	88.15169
MNS1	245.8726	225.1877	229.852	163.9224
HS.575889	101.9137	92.31413	95.27216	78.96985
LOC641788	145.9475	110.1941	136.4356	133.5691
DKFZP686E2158	155.1218	119.2669	145.0106	147.5765
HS.538338	94.02096	82.64762	87.89198	85.3498
PDE6B	92.72826	72.20492	86.6834	76.68354
SSX2	98.92252	89.94615	92.47353	83.24742
HS.550811	96.10391	85.6496	89.83806	93.54564
LOC643475	116.3765	100.0945	108.7884	96.53909
HS.553195	107.6431	102.3321	100.6241	104.6525
THAP2	100.802	91.79193	94.22905	89.30474
HS.176479	83.15759	81.32156	77.73455	66.29221
AMY2B	129.8069	112.0268	121.3414	117.3144
HS.58896	127.4441	97.41095	119.1326	106.7512
HS.318860	93.97698	64.2584	87.84677	74.53181
TAF9B	87.90582	89.34232	82.17002	77.26613
HS.526650	113.6544	105.697	106.2384	103.1226
HIST1H2AM	165.0194	145.3293	154.2511	150.7636
HS.559884	105.9482	91.14443	99.03287	82.4491
APCDD1	101.2716	84.4063	94.66113	85.09293
HS.538181	108.5385	101.7911	101.4525	96.41463
MORN2	492.9457	493.5699	460.7605	533.96
HMGCLL1	97.88097	86.88821	91.4889	89.64483
UFD1L	220.4214	190.5395	206.0267	210.9899
LOC653419	107.0976	96.9362	100.1029	99.57391
PAK1IP1	1282.898	710.768	1199.105	862.9785
HS.578312	108.8039	104.7342	101.6969	85.43476
LOC648481	112.4044	87.75332	105.0616	86.56487
LOC441873	90.214	81.70223	84.32063	84.62256
